player_name,club,age,position,minutes,goals,assists,contract_expires_year,market_value_million_eur,predicted_value_million_eur,value_diff,valuation_label
Saúl Ñíguez,Atlético Madrid,22.0,MF,3155.0,2.0,4.0,,70.0,52.01833333333333,-17.98166666666667,overvalued
Enzo Crivelli,Angers,22.0,FW,1023.0,1.0,1.0,,4.0,4.071666666666666,0.07166666666666632,fair
Marco Verratti,Paris S-G,24.0,MF,1718.0,0.0,4.0,,70.0,58.05,-11.950000000000003,overvalued
Baptiste Guillaume,Angers,22.0,FW,458.0,1.0,1.0,,2.0,2.4869386666666657,0.48693866666666574,fair
Wilfried Kanga,Angers,19.0,"FW,MF",176.0,0.0,0.0,,0.02,0.32441766666666644,0.3044176666666664,fair
Billy Ketkeophomphone,Angers,27.0,"MF,FW",437.0,0.0,0.0,,2.0,1.5215603333333327,-0.47843966666666726,fair
Alexandre Letellier,Angers,26.0,GK,1170.0,0.0,0.0,,1.0,1.1731833333333341,0.17318333333333413,fair
Vincent Manceau,Angers,28.0,DF,2970.0,0.0,0.0,,2.0,3.5676666666666663,1.5676666666666663,undervalued
Naby Keïta,RB Leipzig,22.0,MF,1962.0,6.0,5.0,,65.0,26.671666666666667,-38.32833333333333,overvalued
Mathieu Michel,Angers,25.0,GK,598.0,0.0,0.0,,2.0,2.0249666666666672,0.024966666666667248,fair
Prince Oniangué,Angers,28.0,MF,1055.0,1.0,0.0,,1.5,1.960608333333333,0.46060833333333306,fair
N'Golo Kanté,Chelsea,26.0,MF,2994.0,1.0,1.0,,60.0,55.53,-4.469999999999999,overvalued
Adrien Rabiot,Paris S-G,22.0,MF,2364.0,1.0,4.0,,50.0,50.13,0.13000000000000256,fair
Baptiste Santamaria,Angers,22.0,MF,2591.0,0.0,0.0,,3.0,6.050666666666666,3.0506666666666664,undervalued
Gilles Sunu,Angers,26.0,"MF,FW",656.0,1.0,1.0,,1.5,3.471387333333334,1.9713873333333338,undervalued
David Alaba,Bayern Munich,25.0,DF,1551.0,2.0,2.0,,50.0,43.76766666666666,-6.232333333333337,overvalued
Flavien Tait,Angers,24.0,"MF,FW",2241.0,4.0,3.0,,5.0,6.066,1.0659999999999998,fair
Virgil van Dijk,Liverpool,26.0,DF,1260.0,0.0,0.0,,50.0,42.13686666666666,-7.863133333333337,overvalued
Karl Toko Ekambi,Angers,24.0,"FW,MF",3041.0,17.0,5.0,,18.0,23.718333333333334,5.718333333333334,undervalued
Thomas Touré,Angers,23.0,MF,128.0,0.0,0.0,,1.5,1.3846816666666666,-0.11531833333333341,fair
Aymeric Laporte,Manchester City,23.0,DF,806.0,0.0,0.0,,50.0,40.269499999999994,-9.730500000000006,overvalued
Pierre-Emerick Aubameyang,Arsenal,28.0,FW,1057.0,10.0,4.0,,75.0,60.88666666666666,-14.113333333333337,overvalued
Héctor Bellerín,Arsenal,22.0,"DF,MF",3051.0,2.0,3.0,,40.0,26.081666666666667,-13.918333333333333,overvalued
John Stones,Manchester City,23.0,DF,1302.0,0.0,0.0,,50.0,45.26833333333333,-4.731666666666669,overvalued
Francis Coquelin,Arsenal,26.0,"MF,DF",169.0,0.0,0.0,,12.0,10.122058333333333,-1.8779416666666666,overvalued
Mohamed Elneny,Arsenal,25.0,MF,867.0,0.0,1.0,,10.0,10.526883333333334,0.526883333333334,fair
Olivier Giroud,Arsenal,30.0,FW,388.0,4.0,1.0,,18.0,17.39,-0.6099999999999994,fair
Virgil van Dijk,Southampton,26.0,DF,994.0,0.0,0.0,,50.0,33.9596,-16.040399999999998,overvalued
Alex Iwobi,Arsenal,21.0,"FW,MF",1830.0,3.0,5.0,,15.0,28.078333333333333,13.078333333333333,undervalued
Jérôme Boateng,Bayern Munich,28.0,DF,1640.0,1.0,2.0,,45.0,37.901066666666665,-7.098933333333335,overvalued
Alexandre Lacazette,Arsenal,26.0,FW,2202.0,14.0,4.0,,60.0,49.975,-10.024999999999999,overvalued
Ainsley Maitland-Niles,Arsenal,19.0,"DF,MF",914.0,0.0,0.0,,7.0,7.9254,0.9253999999999998,fair
Sergio Ramos,Real Madrid,31.0,DF,2290.0,4.0,1.0,,45.0,34.620266666666666,-10.379733333333334,overvalued
Andreas Christensen,Chelsea,21.0,DF,2086.0,0.0,0.0,,40.0,33.84,-6.159999999999997,overvalued
Henrikh Mkhitaryan,Arsenal,28.0,"FW,MF",794.0,2.0,4.0,,35.0,32.013333333333335,-2.9866666666666646,overvalued
Nacho Monreal,Arsenal,31.0,DF,2243.0,5.0,2.0,,13.0,12.6276,-0.37240000000000073,fair
Antonio Rüdiger,Chelsea,24.0,DF,2338.0,2.0,1.0,,40.0,41.46333333333333,1.4633333333333312,undervalued
David Ospina,Arsenal,28.0,GK,381.0,0.0,0.0,,5.0,6.520808333333335,1.5208083333333349,undervalued
Aaron Ramsey,Arsenal,26.0,MF,1846.0,7.0,8.0,,45.0,43.779666666666664,-1.2203333333333362,fair
Mesut Özil,Arsenal,28.0,"MF,FW",2163.0,4.0,8.0,,50.0,41.03433333333333,-8.965666666666671,overvalued
Alex Oxlade-Chamberlain,Arsenal,23.0,"MF,DF",241.0,0.0,0.0,,40.0,8.485972,-31.514028,overvalued
Alexis Sánchez,Arsenal,28.0,"FW,MF",1503.0,7.0,3.0,,70.0,48.255,-21.744999999999997,overvalued
Theo Walcott,Arsenal,28.0,"MF,FW",69.0,0.0,0.0,,20.0,9.808683333333333,-10.191316666666667,overvalued
Danny Welbeck,Arsenal,26.0,"FW,MF",1194.0,5.0,2.0,,15.0,19.551908333333333,4.5519083333333334,undervalued
Paulinho,Barcelona,29.0,MF,1948.0,9.0,2.0,,40.0,57.41,17.409999999999997,undervalued
Granit Xhaka,Arsenal,24.0,MF,3260.0,1.0,7.0,,40.0,26.326666666666668,-13.673333333333332,overvalued
Musa Barrow,Atalanta,18.0,"FW,MF",443.0,3.0,1.0,,6.0,5.655308333333333,-0.34469166666666684,fair
Stefan de Vrij,Lazio,25.0,DF,3034.0,6.0,0.0,,40.0,33.833333333333336,-6.166666666666664,overvalued
Etrit Berisha,Atalanta,28.0,GK,2790.0,0.0,0.0,,7.0,7.666666666666667,0.666666666666667,fair
Alessio Romagnoli,Milan,22.0,DF,2353.0,2.0,0.0,,40.0,21.122,-18.878,overvalued
Timothy Castagne,Atalanta,21.0,"DF,MF",1500.0,0.0,1.0,,5.0,6.277666666666667,1.2776666666666667,fair
Andreas Cornelius,Atalanta,24.0,FW,934.0,3.0,1.0,,3.0,3.7001666666666675,0.7001666666666675,fair
Corentin Tolisso,Bayern Munich,22.0,MF,1575.0,6.0,4.0,,40.0,40.14333333333333,0.14333333333333087,fair
Alex Oxlade-Chamberlain,Liverpool,23.0,"MF,FW",1493.0,3.0,7.0,,40.0,37.545,-2.4549999999999983,overvalued
Pierluigi Gollini,Atalanta,22.0,GK,622.0,0.0,0.0,,3.5,3.5846333333333344,0.08463333333333445,fair
Papu Gómez,Atalanta,29.0,"FW,MF",2750.0,6.0,8.0,,18.0,16.65201666666667,-1.3479833333333318,fair
Robin Gosens,Atalanta,23.0,"DF,MF",1451.0,1.0,2.0,,2.5,4.1615,1.6615000000000002,undervalued
Leon Goretzka,Schalke 04,22.0,MF,1982.0,4.0,2.0,,40.0,28.61,-11.39,overvalued
Hans Hateboer,Atalanta,23.0,"DF,MF",2398.0,0.0,1.0,,7.0,7.633266666666667,0.6332666666666666,fair
Toby Alderweireld,Tottenham,28.0,DF,1178.0,0.0,0.0,,40.0,31.676666666666666,-8.323333333333334,overvalued
Eric Dier,Tottenham,23.0,"MF,DF",2824.0,0.0,2.0,,40.0,38.751666666666665,-1.2483333333333348,fair
Davinson Sánchez,Tottenham,21.0,DF,2534.0,0.0,0.0,,40.0,39.845,-0.15500000000000114,fair
Riccardo Orsolini,Atalanta,20.0,"FW,MF",125.0,0.0,0.0,,3.5,2.463428083333333,-1.036571916666667,fair
Andrea Petagna,Atalanta,22.0,FW,1618.0,4.0,5.0,,9.0,11.046666666666667,2.046666666666667,undervalued
Marten de Roon,Atalanta,26.0,MF,2571.0,3.0,3.0,,14.0,14.227666666666668,0.2276666666666678,fair
Francesco Rossi,Atalanta,26.0,GK,8.0,0.0,0.0,,0.015,0.24637500000000026,0.23137500000000027,fair
Leonardo Spinazzola,Atalanta,24.0,DF,1503.0,0.0,3.0,,12.0,9.281933333333333,-2.718066666666667,overvalued
Niklas Süle,Bayern Munich,21.0,DF,1926.0,2.0,1.0,,38.0,40.958333333333336,2.9583333333333357,undervalued
Luca Vido,Atalanta,20.0,"FW,MF",74.0,0.0,0.0,,0.07,0.5293749999999979,0.4593749999999979,fair
Aritz Aduriz,Athletic Club,36.0,FW,2155.0,9.0,3.0,,1.0,1.073985166666667,0.0739851666666671,fair
Ager Aketxe,Athletic Club,23.0,MF,41.0,0.0,0.0,,2.5,1.9253999999999996,-0.5746000000000004,fair
Diego Godín,Atlético Madrid,31.0,DF,2554.0,0.0,0.0,,35.0,6.083358333333334,-28.916641666666667,overvalued
Mikel Balenziaga,Athletic Club,29.0,DF,1547.0,0.0,2.0,,4.0,4.290571333333334,0.2905713333333342,fair
