player_name,club,age,position,minutes,goals,assists,contract_expires_year,market_value_million_eur
Olivier Giroud,Arsenal,30.0,FW,388.0,4.0,1.0,,18.0
Virgil van Dijk,Southampton,26.0,DF,994.0,0.0,0.0,,50.0
Alex Iwobi,Arsenal,21.0,"FW,MF",1830.0,3.0,5.0,,15.0
Jérôme Boateng,Bayern Munich,28.0,DF,1640.0,1.0,2.0,,45.0
Alexandre Lacazette,Arsenal,26.0,FW,2202.0,14.0,4.0,,60.0
Ainsley Maitland-Niles,Arsenal,19.0,"DF,MF",914.0,0.0,0.0,,7.0
Sergio Ramos,Real Madrid,31.0,DF,2290.0,4.0,1.0,,45.0
Andreas Christensen,Chelsea,21.0,DF,2086.0,0.0,0.0,,40.0
Henrikh Mkhitaryan,Arsenal,28.0,"FW,MF",794.0,2.0,4.0,,35.0
Nacho Monreal,Arsenal,31.0,DF,2243.0,5.0,2.0,,13.0
Antonio Rüdiger,Chelsea,24.0,DF,2338.0,2.0,1.0,,40.0
David Ospina,Arsenal,28.0,GK,381.0,0.0,0.0,,5.0
Aaron Ramsey,Arsenal,26.0,MF,1846.0,7.0,8.0,,45.0
Mesut Özil,Arsenal,28.0,"MF,FW",2163.0,4.0,8.0,,50.0
Alex Oxlade-Chamberlain,Arsenal,23.0,"MF,DF",241.0,0.0,0.0,,40.0
Alexis Sánchez,Arsenal,28.0,"FW,MF",1503.0,7.0,3.0,,70.0
Theo Walcott,Arsenal,28.0,"MF,FW",69.0,0.0,0.0,,20.0
Danny Welbeck,Arsenal,26.0,"FW,MF",1194.0,5.0,2.0,,15.0
Paulinho,Barcelona,29.0,MF,1948.0,9.0,2.0,,40.0
Granit Xhaka,Arsenal,24.0,MF,3260.0,1.0,7.0,,40.0
Musa Barrow,Atalanta,18.0,"FW,MF",443.0,3.0,1.0,,6.0
Stefan de Vrij,Lazio,25.0,DF,3034.0,6.0,0.0,,40.0
Etrit Berisha,Atalanta,28.0,GK,2790.0,0.0,0.0,,7.0
Alessio Romagnoli,Milan,22.0,DF,2353.0,2.0,0.0,,40.0
Timothy Castagne,Atalanta,21.0,"DF,MF",1500.0,0.0,1.0,,5.0
Andreas Cornelius,Atalanta,24.0,FW,934.0,3.0,1.0,,3.0
Corentin Tolisso,Bayern Munich,22.0,MF,1575.0,6.0,4.0,,40.0
Alex Oxlade-Chamberlain,Liverpool,23.0,"MF,FW",1493.0,3.0,7.0,,40.0
Pierluigi Gollini,Atalanta,22.0,GK,622.0,0.0,0.0,,3.5
Papu Gómez,Atalanta,29.0,"FW,MF",2750.0,6.0,8.0,,18.0
Robin Gosens,Atalanta,23.0,"DF,MF",1451.0,1.0,2.0,,2.5
